Quarter,Revenue
Q1-09,742
Q2-09,844
Q3-09,967
Q4-09,846
Q1-10,830
Q2-10,976
Q3-10,1068
Q4-10,958
Q1-11,965
Q2-11,1110
Q3-11,1198
Q4-11,1045
Q1-12,1039
Q2-12,1214
Q3-12,1272
Q4-12,1132
Q1-13,1133
Q2-13,1256
Q3-13,1557
Q4-13,1210
Q1-14,1222
Q2-14,1375
Q3-14,1465
Q4-14,1306
Q1-15,1269
Q2-15,1437
Q3-15,1515
Q4-15,1377
Q1-16,1347
Q2-16,1494
Q3-16,1566
Q4-16,1518
Q1-17,1740
Q2-17,2102
Q3-17,2110
Q4-17,1942
Q1-18,1832
Q2-18,2156
Q3-18,2212
Q4-18,2064
Q1-19,1876
Q2-19,2288
Q3-19,2389
Q4-19,2228
Q1-20,1636
Q2-20,421
Q3-20,701
Q4-20,808
Q1-21,797
Q2-21,1527
Q3-21,1953
Q4-21,1899
Q1-22,1681
Q2-22,2658
Q3-22,2828
Q4-22,2479
Q1-23,2196
Q2-23,2838
Q3-23,2839
Q4-23,2553
